Station,Provenance,Description,Ligne de Provenance,ID Zone arret ICAR,ID Ligne de Provenance
Auber,"Vincennes, Boissy-St-Léger, Marne-la-Vallée","En tête, un ascenseur dans le prolongement du quai pour les lignes 3, 7, 8 par la station Opéra,pour la ligne 9, la direction Pont de Levallois par la station Havre-Caumartin et le RER E par Haussmann-Saint-Lazare et les sorties.
En tête, un couloir, passage interdit.
Au premier tiers, deux couloirs perpendiculaires au quai pour les lignes 3, 7, 8 par la station Opéra, la ligne 9, la direction de Pont de Levallois par la station Havre-Caumartin, le RER E par Haussmann-Saint-Lazare et les sorties.
Au premier tiers, un magasin et juste avant, le début des trains courts.
A la fin du premier tiers, deux couloirs perpendiculaires au quai pour les mêmes directions.
Au milieu, un couloir perpendiculaire au quai, passage interdit.
Au milieu, un couloir perpendiculaire au quai pour les lignes 3, 7, 8 par la station Opéra, la ligne 9, la direction de Pont de Levallois par la station Havre-Caumartin, le RER E par Haussmann-Saint-Lazare et les sorties.
Au troisième tiers, deux couloirs perpendiculaire au quai pour les mêmes directions.
A la fin du troisième tiers, deux couloirs perpendiculaires au quai pour les mêmes directions.
En queue, un couloir perpendiculaire au quai, passage interdit.
Note : les trains sont plus courts que la rame.",A,45873,C01742
Aubervilliers - Front Populaire,Mairie d'Issy,"Toutes les sorties aboutissent dans le hall supérieur pour les sorties Léon Blum, Magasins généraux, rue Waldeck Rochet, avenue George Sand, Maison des Sciences de l'Homme.
Au premier tiers, un escalator montant et à sa droite un escalier montant, parallèles au quai, ouvert vers la tête pour les sorties.
Au milieu, contre le mur, un ascenseur parallèle au quai pour les sorties.
Au deuxième tiers, un escalier parallèle au quai, ouvert vers la queue pour les sorties.",12,420658,C01382
Aubervilliers - Pantin - Quatre Chemins,Mairie d'Ivry - Villejuif,"Au dÃ©but du premier tiers, un couloir perpendiculaire au quai, qui tourne tout de suite Ã  droite pour les sorties avenue de la RÃ©publique, avenue Jean JaurÃ¨s.
A la fin du premier tiers, un couloir perpendiculaire au quai, suivi de portes battantes, sorties par lâ€™escalator.",7,46492,C01377
Aubervilliers - Pantin - Quatre Chemins,La Courneuve,"Au troisiÃ¨me tiers, un couloir perpendiculaire au quai, qui tourne tout de suite Ã  gauche pour les sorties avenue de la RÃ©publique, avenue Jean JaurÃ¨s.",7,46492,C01377
Avenue de France,Pont du Garigliano,"On arrive entre la place Farhat Hached ? gauche et le boulevard Jean Simon ? droite.
En t?te, l'acc?s pour le RER C, la ligne 14 (Biblioth?que Fran?ois Mitterrand) et l'avenue de France.
En queue, un acc?s ? la rue Jeanne Chauvin.",T3a,45305,C01391
Avenue de France,Porte de Vincennes,"On arrive entre le boulevard Jean Simon ? gauche et la place Farhat Hached ? droite.
En queue, l'acc?s pour le RER C, la ligne 14 (Biblioth?que Fran?ois Mitterrand) et l'avenue de France.
En t?te, un acc?s ? la rue Jeanne Chauvin.",T3b,45305,C01679
Avenue Émile Zola,Boulogne,"En queue, dans le prolongement du quai, le quai est séparé en deux par une grille, avec deux composteurs contre le mur et à leurs droite, contre la voie, un escalier montant pour les sorties avenue Émile Zola, rue Fondary, rue du Commerce.",10,42265,C01380
Avenue Émile Zola,Gare d'Austerlitz,"En queue, dans le prolongement du quai, le quai est séparé en deux par une grille, avec deux composteurs contre le mur et à leurs droite, contre la voie, un escalier montant pour les sorties avenue Émile Zola, rue Fondary, rue du Commerce.",10,42265,C01380
Avenue Foch,"Choisy-le-Roi, Massy-Palaiseau, Dourdan, St-Martin d'Etampes, Versailles chantiers","Il s'agit d'un double quai.
En tête, un escalator montant et à sa gauche un double escalier montant dans le prolongement du quai pour le RER C par la station Porte Dauphine et les sorties place du maréchal de-Lattre-de-Tassigny, de l'avenue Foch, place du Paraguay.
En tête, sous l'escalator, un ascenseur pour les sorties, avec l'accès par l'interphone.
En queue, des composteurs dans le prolongement du quai pour entrer dans le métro et pour la sortie rue de Longchamp.",C,45437,C01727
Avenue Foch,Pontoise,"Il s'agit d'un double quai.
En tête, des composteurs dans le prolongement du quai pour entrer dans le métro et pour la sortie rue de Longchamp.
En queue, un escalator montant et à sa gauche un double escalier montant dans le prolongement du quai pour le RER C par la station Porte Dauphine et les sorties place du maréchal de-Lattre-de-Tassigny, de l'avenue Foch, place du Paraguay.
En queue, sous l'escalator, un ascenseur pour les sorties, avec l'accès par l'interphone.",C,45437,C01727
Avron,Nation (2 par Barbès-Rochechouart),"En queue, un escalier montant pour les sorties.
A l'extérieur, on arrive sur un terre-plein, au milieu du boulevard de Charonne qui se prolonge à 12 H, avec la rue d'Avron sur la gauche et la rue de Montreuil sur la droite.",2,42271,C01372
Avron,Porte Dauphine,"En tête, un escalier montant pour les sorties.
A l'extérieur, on arrive sur un terre-plein, au milieu du boulevard de Charonne, avec la rue d'Avron sur la gauche et la rue de Montreuil sur la droite.",2,42271,C01372
Balard,Balard,"En tête, un escalier montant pour le T3 A, le boulevard Victor, l'avenue de la porte de Sèvres, le boulevard du général Martial Valin, rue Balard, l'hôpital Georges Pompidou, l'avenue Félix Faure.
En queue, un escalier montant, dans le prolongement du quai pour le T2, rue Louis Armand et le centre aquatique.",8,463327,C01378
Balard,Créteil - Pointe du Lac,"On arrive soit sur un étroit quai, soit, sur un double quai qui est le quai de départ vers Créteil.
Pour ces deux quais, il y a un escalier montant dans le prolongement du quai en queue.",8,463327,C01378
Balard,Pont du Garigliano,"On arrive au milieu du boulevard Victor.
L'allée et le retour ne sont pas sur le même boulevard.",T3a,463327,C01391
Balard,Porte de Vincennes,"On arrive au milieu du boulevard du général Martial Valin.
L'allée et le retour ne sont pas sur le même boulevard.",T3b,463327,C01679
Barbès - Rochechouart,Nation (2 par Barbès-Rochechouart),"Il s'agit d'un quai aérien.
En tête, un double escalier descendant dans le prolongement du quai pour la ligne 4 et les sorties boulevard Rochechouart, boulevard de Magenta et boulevard de La Chapelle.
Au premier tiers, un double escalier descendant parallèle au quai, ouvert vers la tête, pour la ligne 4.
Au deuxième tiers, un escalator parallèle au quai, ouvert vers la queue qui arrive du bas.
Au troisième tiers, un double escalier descendant, parallèle au quai ouvert vers la tête pour la sortie.
En queue, un ascenseur parallèle au quai, ouverture des portes vers la tête pour la ligne 4 et la sortie rue Guy Patin.
Note : Il y a des piliers métalliques au niveau du premier tiers au milieu du quai.",2,42280,C01372
Barbès - Rochechouart,Porte Dauphine,"Il s'agit d'un quai aérien.
En tête, un ascenseur parallèle au quai, ouverture des portes vers la queue pour la ligne 4 et la sortie rue Guy Patin.
Au premier tiers, un escalier descendant, parallèle au quai, ouverture vers la queue pour les sorties.
Au premier tiers, un escalator qui arrive du bas, ouverture vers la tête.
Au troisième tiers, un double escalier descendant, parallèle au quai, ouverture vers la queue pour la ligne 4 et les sorties.
En queue, un double escalier descendant dans le prolongement du quai pour la ligne 4 et les sorties boulevard Rochechouart, boulevard de Magenta et boulevard de La Chapelle.
Note : Il y a des piliers métalliques au niveau du troisième tiers au milieu du quai.",2,42280,C01372
Barbès - Rochechouart,Porte de Clignancourt,"Au premier tiers, perpendiculaire au quai, un couloir, pour la ligne 2 et la sortie.
Au début du troisième tiers, perpendiculaire au quai, un couloir, pour la ligne 2.",4,42280,C01374
Barbès - Rochechouart,Bagneux - Lucie Aubrac,"A la fin du premier tiers, perpendiculaire au quai, un escalier montant, pour la ligne 2 et les sorties.
Au milieu, perpendiculaire au quai, un escalator montant, pour la ligne 2 et les sorties.
Au début du troisième tiers, perpendiculaire au quai, un couloir, pour la ligne 2 et les sorties.",4,42280,C01374
Basilique de Saint-Denis,Asnières-Genevilliers - Les Courtilles,"En queue, la sortie vers le RER D.",T1,463329,C01389
Basilique de Saint-Denis,Châtillon - Montrouge,"Au premier tiers, un escalator montant, parallèle au quai, ouvert vers la tête pour la sortie.
Au troisième tiers, un escalier montant, parallèle au quai, ouvert vers la queue pour la sortie.",T6,463329,C01794
Basilique de Saint-Denis,Saint-Denis Université,à rédiger,13,463329,C01383
Basilique de Saint-Denis,Gare de Noisy-le-Sec,"En tête, la sortie vers le RER D.",T4,463329,C01843
Bastille,Balard,"Au milieu, un couloir perpendiculaire au quai, passage interdit.
En queue, au milieu du dernier wagon, un couloir perpendiculaire au quai, pour les correspondances des lignes 1, 5, et les sorties.",8,42288,C01378
Bastille,Bobigny,"En tête, dans le prolongement du quai, un double escalier montant, passage interdit.
En tête, un couloir perpendiculaire au quai, pour las ligne 1, et les sorties rue de Lyon, l'Opéra Bastille, boulevard Bourdon, boulevard Henri IV, bassin de l'Arsenal.
En queue, un couloir perpendiculaire au quai, passage interdit.
En queue, dans le prolongement du quai, un double escalier montant, pour la ligne 8, et les sorties rue Saint Antoine, rue de la Roquette, boulevard Beaumarchais, l'hôpital des Quinze/Vingt.",5,42288,C01375
Bastille,Château de Vincennes,"On arrive sur un quai aérien dans ses deux premiers tiers.
Dans le dernier tiers il y a des piliers au milieu du quai.

- en tête, un couloir dans le prolongement du quai, pour les voyageurs qui arrivent.
- en tête, au-delà de la tête du train, un couloir perpendiculaire au quai, pour les sorties boulevard Bourdon et boulevard Henri IV.
A la fin du deuxième tiers, à la fin du troisième wagon, un couloir perpendiculaire au quai, pour les lignes 5 et 8 et les sorties rue de la Roquette, faubourg Saint-Antoine, hôpital des Quinze/Vingt, Opéra Bastille, rue de Lyon, Bassin de l'Arsenal.
- presque en queue, à la fin du quatrième wagon, un couloir perpendiculaire au quai pour les voyageurs qui arrivent.",1,42288,C01371
Bastille,Créteil - Pointe du Lac,"Au début du premier tiers, au début du premier wagon, un couloir perpendiculaire au quai, pour les correspondances des lignes 1 et 5 et les sorties.
Au milieu, un couloir perpendiculaire au quai, passage interdit.",8,42288,C01378
Bastille,La Défense Grande Arche,"On arrive sur un quai aérien dans ses deux derniers tiers.
Dans le premier tiers il y a des piliers au milieu du quai.
A la fin du premier tiers, dans un décrochement, un escalier parallèle au quai, ouvert vers la queue, pour les correspondances des lignes 5 et 8 et les sorties rue de la Roquette, faubourg Saint-Antoine, l'Opéra Bastille, rue de Lyon.
En queue, dans le prolongement du quai, un escalier descendant.
L'escalier est séparé en deux par une grille.
Le côté gauche est un passage interdit.
Le côté droit pour les sorties boulevard Henri IV, place de la Bastille place des Vosges, boulevard Beaumarchais, boulevard Richard Lenoir.",1,42288,C01371
Bastille,Place d'Italie,"En tête, un double escalier montant dans le prolongement du quai, pour la ligne 8 et les sorties rue Saint Antoine, rue de la Roquette, boulevard Beaumarchais, l'hôpital des Quinze*Vingt.
En tête, un couloir perpendiculaire au quai, passage interdit.
En queue, un couloir perpendiculaire au quai, passage interdit.
En queue, un double escalier montant dans le prolongement du quai, pour la ligne 1 et les sorties rue de Lyon, l'Opéra Bastille, boulevard Bourdon, boulevard
Henri IV, bassin de l'Arsenal.",5,42288,C01375
Bel-Air,Charles de Gaulle Etoile,"On arrive sur un quai aérien.
En tête, dans le prolongement du quai, des composteurs contre le mur et à leur gauche, un escalier descendant pour les sorties Boulevard de Picpus, rue du Sahel (hôpital Trousseau), rue Dagorno (hôpital Rothschild).",6,45222,C01376
Bel-Air,Nation (6 par Denfert-Rochereau),"On arrive sur un quai aérien.
En queue, dans le prolongement du quai, des composteurs contre le mur et à leur droite, un escalier descendant pour les sorties Boulevard de Picpus, rue du Sahel (hôpital Trousseau), rue Dagorno (hôpital Rothschild).",6,45222,C01376
Belleville,Chatelet,"En tête, un couloir dans le prolongement du quai, en biais vers 2 H, pour une sortie.
En tête, un couloir perpendiculaire au quai, pour la correspondance de la ligne 2.
Avertissement : la rame est plus courte que le quai.",11,42311,C01381
Belleville,Mairie des Lilas,"En queue, un couloir perpendiculaire au quai, pour la correspondance de la ligne 2.
En queue, un couloir dans le prolongement du quai, en biais vers 10 H, pour une sortie.
Avertissement : la rame est plus courte que le quai.",11,42311,C01381
Belleville,Nation (2 par Barbès-Rochechouart),"Au troisième tiers, au niveau du quatrième wagon, un couloir perpendiculaire au quai pour la ligne 11.
En queue, dans le prolongement du quai, un escalier montant pour les sorties boulevard de la Villette, boulevard de Belleville, rue de Belleville, faubourg du Temple et rue Louis Bonnet.",2,42311,C01372
Belleville,Porte Dauphine,"En tête, dans le prolongement du quai, un escalier montant pour les sorties boulevard de la Villette, boulevard de Belleville, rue de Belleville, faubourg du Temple et rue Louis Bonnet.
Au premier tiers, au niveau du deuxième wagon, un escalier descendant, parallèle au quai, ouvert vers la queue, pour la correspondance de la ligne 11.
Au milieu, un escalier descendant, parallèle au quai, ouvert vers la queue, passage interdit.",2,42311,C01372
Bérault,Château de Vincennes,"En tête, un double escalier montant pour les sorties hôpital Bégin, place Bérault et le bus 325.
En queue, deux composteurs, parallèles au quai, ouverts vers la tête.
Juste derrière, au niveau de la fin du dernier wagon, adossés aux composteurs, des porte battantes parallèles au quai, ouvertes vers la queue pour la sortie rue Segond.",1,42318,C01371
Bérault,La Défense Grande Arche,"En tête, des portes battantes suivies d'un escalator montant pour la sortie rue des vignerons.
En queue, un double escalier montant pour les sorties hôpital Bégin, place Bérault et le bus 325.",1,42318,C01371
Bercy,Olympiades,"En tête, un petit couloir perpendiculaire au quai pour prendre l'ascenseur pour la ligne 6 et les sorties.
Au premier tiers, un escalier montant parallèle au quai, ouvert vers la queue pour la ligne 6 et les sorties.
Au début du deuxième tiers, un escalator montant, parallèle au quai, ouvert vers la queue pour la ligne 6 et les sorties.
En queue, un escalator montant parallèle au quai, ouvert vers la tête pour la sortie rue de Corbineau et la gare SNCF de Bercy.
En queue, au-delà de la queue du train un double escalier montant, parallèle au quai, ouvert vers la tête pour les mêmes sorties.
En queue, très au-delà de la queue du train, un ascenseur dans un petit renfoncement , perpendiculaire au quai pour les mêmes sorties.",14,58728,C01384
Bercy,Charles de Gaulle Etoile,"En tête, un escalier montant dans le prolongement du quai vers la sortie rue Corbineau et la gare SNCF de Bercy.
En queue, un couloir perpendiculaire au quai pour la correspondance de la ligne 14.
En queue, dans le prolongement du quai, un escalier montant vers les sorties de la gare routière, le ministère des finances et L'AccorHotels Are.",6,58728,C01376
Bercy,Nation (6 par Denfert-Rochereau),"En tête, dans le prolongement du quai, un escalier montant pour la correspondance de la ligne 14, pour les sorties vers la gare routière, le ministère des finances et L'AccorHotels Are.
Presque en queue, un couloir perpendiculaire vers la sortie rue Corbineau et la gare SNCF de Bercy.",6,58728,C01376
Bercy,Mairie de Saint-Ouen,"En tête, très au-delà de la tête du train, un ascenseur, dans un petit renfoncement, perpendiculaire au quai pour les sorties rue Corbineau et vers la gare SNCF de Bercy.
En tête, au-delà de la tête du train, un double escalier montant, parallèle au quai, ouvert vers la queue pour les mêmes sorties.
En tête, un escalator montant , parallèle au quai, ouvert vers la queue, pour les mêmes sorties.
Au deuxième tiers, un escalator montant, parallèle au quai, ouvert vers la tête pour la ligne 6 et les sorties.
Au troisième tiers, un escalier montant, parallèle au quai, ouvert vers la tête pour la ligne 6 et les sorties.
En queue, un ascenseur, parallèle au quai, pour la ligne 6 et les sorties.",14,58728,C01384
Bibliothèque François Mitterrand,Olympiades,"En tête, un ascenseur dans le prolongement du quai, ouverture des portes vers la queue Pour le RER C et la sortie rue de France.
Au début du premier tiers, un escalator qui arrive du haut et à sa gauche un escalier montant, parallèles au quai, ouverture vers la tête, pour le RER C et les sortie avenue de France, la bibliothèque François Mitterrand, rue Goscinny, les bus 62, 89, 325.
Au début du deuxième tiers, dans un décrochement, un escalier montant, parallèle au quai, ouvert vers la queue, pour le RER C et les sortie avenue de France, la bibliothèque François Mitterrand, rue Goscinny, les bus 62, 89, 325.
A la fin du deuxième tiers, toujours dans le décrochement, mais en face, un escalator qui arrive du haut et à sa droite un triple escalier montant, parallèles au quai, ouverts vers la tête pour les sorties rue Chevaleret, Pont de Tolbiac et les bus 64 et 132.
Note : Le quai est séparé en deux par des piliers situés entre le mur et le quai.",14,45301,C01384
Bibliothèque François Mitterrand,Mairie de Saint-Ouen,"A la fin du premier tiers, un escalator montant, et à sa gauche un triple escalier montants, parallèles au quai, ouverts vers la queue, pour les sorties rue Chevaleret, Pont de Tolbiac et les bus 64, 132.
Au milieu, un double escalier montant et à sa droite un escalator montant, parallèles au quai, ouverts vers la tête, pour le RER C, les sorties rue Goscinny, avenue de France, bibliothèque François Mitterrand et les bus 62, 89, 325.
En queue, un escalator montant et à sa droite un double escalier montants, parallèles au quai, ouverts vers la queue, pour le RER C, les sorties rue Goscinny, avenue de France, bibliothèque François Mitterrand et les bus 62, 89, 325.
En queue, un ascenseur dans le prolongement du quai, ouverture des portes vers la tête, pour le RER C et les sorties.
Note : Le quai est séparé en deux par des piliers situés entre le mur et le quai.",14,45301,C01384
Bibliothèque François Mitterrand,"Champ de Mars, Pontoise, Versailles-rive gauche, St-Quentin","Il s'agit d'un double quai, avec, en regardant vers la tête, le quai E, à Droite, avec les trains qui roulent de la droite vers la gauche et le quai F, à gauche, avec les trains qui roulent de la gauche vers la droite.
Des piliers et des panneaux séparent au milieu le quai A du quai B.
En tête et en queue, il y a une rampe verticale chauffante sur un pilier.

En tête, deux double escaliers montants, parallèles au quai, ouverts vers la tête pour les sorties rue des Grands Moulins, Université Paris 7 et Denis Diderot.
Au début du premier tiers, sur le quai F, un double escalier montant, parallèle au quai, ouvert vers la queue pour les sorties rue des Grands Moulins, Université Paris 7 et Denis Diderot.

Juste après, l'arrêt des trains courts.
A la fin du premier tiers, un escalator qui arrive du bas sur le quai E, et un escalator descendant sur le quai F, parallèles au quai, ouverts vers la tête pour la ligne 14 et les sorties.
Au milieu, sur le quai F, un double escalier descendant, parallèle au quai, ouvert vers la tête, pour la ligne 14 et les sorties et sur le quai E un escalator qui arrive du bas, parallèle au quai, ouverture vers la tête.
Au début du troisième tiers, un ascenseur, perpendiculaire au quai, ouverture des portes vers la tête pour la ligne 14 et les sorties.
Au troisième tiers, un escalier descendant, parallèle au quai, ouvert vers la tête pour les sorties rue Chevaleret, Pont de Tolbiac, avenue de France, rue des Grands Moulins, université Paris 7.
En queue, un escalier descendant, parallèle au quai, ouvert vers la queue pour les mêmes sorties. Cet escalier rejoint le précédent au premier palier sur une plate-forme.",C,45301,C01727
Bibliothèque François Mitterrand,"Choisy-le-Roi, Massy-Palaiseau, Dourdan, St-Martin d'Etampes, Versailles chantiers","Il s'agit d'un double quai, avec, en regardant vers la tête, le quai A, à gauche, avec les trains qui roulent de la gauche vers la droite et le quai B, à droite , avec les trains qui roulent de la droite vers la gauche.
Des piliers et des panneaux séparent au milieu le quai A du quai B.
En tête et en queue, il y a une rampe verticale chauffante sur un pilier.

En tête, sur le quai A, un escalier descendant, parallèle au quai, ouvert vers la tête pour les sorties rue Chevaleret, Pont de Tolbiac, avenue de France, rue des Grands Moulins, université Paris 7.
Au début du premier tiers, sur le quai A, un escalier descendant, parallèle au quai, ouvert vers la queue, pour les mêmes sorties. Cet escalier rejoint le précédent au premier palier sur une plate-forme.
Au début du deuxième tiers, un ascenseur, perpendiculaire au quai, ouverture des portes vers la queue pour la ligne 14 et les sorties.
Au milieu, sur le quai A, un escalator qui arrive du bas, parallèle au quai, ouvert vers la queue, et sur le quai B, un double escalier descendant, parallèle au quai, ouvert vers la queue pour la ligne 14, les sorties et la navette fluvial.
Au début du troisième tiers, deux escalators descendants, parallèles au quai, ouverts vers la queue pour la ligne 14, les sorties et la navette fluvial.
Quelques mètres plus bas, l'arrêt des trains courts.
Presque en queue, sur le quai B, un double escalier montant, parallèle au quai, ouvert vers la tête, pour les sorties rue des Grands Moulins, Université Paris 7 et Denis Diderot.
En queue, deux doubles escaliers montants, parallèles au quai, ouverts vers la queue, pour la rue des Grands Moulins, Université Paris 7 et Denis Diderot.
Quelques mètres plus loin, l'arrêt des trains longs.",C,45301,C01727
